name,Strikes Landed,Strikes Attempted,Takedowns Landed,Takedowns Attempted,Significant strikes per Minute,Significant strikes Absorbed per minute,Takedown Average,Submission Average,Significant Strike Defense,Takedown Defense,Knockdown Average,Average Fight Time,Standing Position Strikes,Clinch Position Strikes,Ground Position Strikes,Wins by KO,Wins by Submission,Wins by Decision,Strikes to Head,Strikes To Body,Strikes To Leg,wins,losses,draws,Win percentage,Striking Accuracy,Takedown Accuracy,Total Fights
Danny Abbadi,59,155,0.0,0,3.29,4.41,0.0,0.0,0.58,0.78,0.0,8.97,0.71,0.24,0.05,0.0,0.0,0.0,51.0,8.0,0.0,2,2,0,0.5,0.3806451612903225,0.0,4
Shamil Abdurakhimov,250,566,5.0,30,2.6,2.8,1.09,0.16,0.58,0.47,0.31,9.62,0.67,0.24,0.09,0.45,0.35,0.2,148.0,47.0,55.0,20,7,0,0.7407407407407407,0.4416961130742049,0.1666666666666666,27
Zarrukh Adashev,115,285,0.0,5,3.65,3.04,0.0,0.48,0.65,1.0,0.0,7.88,0.93,0.05,0.02,0.5,0.5,0.0,76.0,16.0,23.0,4,4,0,0.5,0.4035087719298245,0.0,8
Israel Adesanya,927,1857,0.0,3,3.93,2.67,0.0,0.19,0.6,0.79,0.76,18.15,0.91,0.06,0.03,0.68,0.32,0.0,470.0,161.0,296.0,23,1,0,0.9583333333333334,0.4991922455573506,0.0,24
Klidson Abreu,96,236,0.0,10,2.05,2.9,0.64,0.0,0.56,0.8,0.0,11.72,0.9,0.1,0.0,0.27,0.07,0.67,38.0,20.0,38.0,15,4,0,0.7894736842105263,0.4067796610169492,0.0,19
Ricardo Abreu,80,252,0.0,7,3.79,3.98,2.13,0.71,0.68,1.0,1.42,10.55,0.73,0.16,0.11,0.6,0.0,0.4,65.0,10.0,5.0,5,1,0,0.8333333333333334,0.3174603174603174,0.0,6
Mariya Agapova,199,369,2.0,3,4.56,4.37,0.69,0.69,0.52,0.43,0.69,8.73,0.76,0.17,0.08,0.3,0.2,0.5,116.0,64.0,19.0,10,3,0,0.7692307692307693,0.5392953929539296,0.6666666666666666,13
Juan Adams,234,420,2.0,3,7.09,4.06,0.91,0.0,0.35,0.57,0.0,6.6,0.48,0.22,0.3,1.0,0.0,0.0,192.0,32.0,10.0,5,3,0,0.625,0.5571428571428572,0.6666666666666666,8
Jessica Aguilar,314,620,4.0,16,4.93,7.19,0.94,0.24,0.54,0.5,0.0,12.73,0.62,0.31,0.08,0.15,0.5,0.35,168.0,88.0,58.0,20,8,0,0.7142857142857143,0.5064516129032258,0.25,28
Omari Akhmedov,535,1556,19.0,68,2.97,2.84,2.58,0.25,0.56,0.66,0.17,12.02,0.73,0.12,0.15,0.33,0.38,0.29,383.0,89.0,63.0,21,6,1,0.75,0.3438303341902313,0.2794117647058823,28
